34.00;0.00;6.14
126.00;0.00;0.75
12.00;0.00;0.42
180.00;0.00;3.27
60.00;0.00;1.39
56137.00;0.00;9.98
30494.00;0.00;0.20
49649.00;0.00;1.39
26371.54;0.01;10.98
53839.00;0.00;1.47
27040.00;0.00;1.06
1086.00;0.00;0.33
219.00;0.00;2.31
114852.00;0.00;0.98
105444.00;0.00;0.88
24492.00;0.00;1.91
16862.00;0.00;8.05
132878.00;0.00;1.86
5476.00;0.00;0.03
35894.00;0.00;0.00
67760.00;0.00;0.03
68271.00;0.00;0.02
116254.50;0.01;0.05
14118.00;0.00;0.02
50146.00;0.00;0.16
61844.00;0.00;0.62
67743.00;0.00;0.02
1181590.00;0.00;5.72
11115.00;0.00;3.50
340160.00;0.00;0.28
10898.00;0.00;0.02
16812.00;0.00;0.03
7408.00;0.00;0.03
6984.00;0.00;0.03
12534.00;0.00;0.03
6314.00;0.00;0.06
5960.00;0.00;0.02
6796.00;0.00;0.03
9933.00;0.00;0.03
8298.00;0.00;0.03
4274.00;0.00;0.05
3942.00;0.00;0.06
8038.00;0.00;0.05
14877.00;0.00;0.02
6678.00;0.00;0.06
10488.00;0.00;0.03
7216.00;0.00;0.03
7314.00;0.00;0.06
10068.00;0.00;0.03
5558.00;0.00;0.03
10080.00;0.00;0.03
10809.00;0.00;0.03
11307.00;0.00;0.02
7656.00;0.00;0.02
8904.00;0.00;0.02
9963.07;10.83;1245.25
5965.00;0.00;0.22
5338.00;0.00;1.38
17854.00;0.00;0.91
